Date;Joueur;Scores;Sets joues;Sets gagnes;Sets perdus;Developpement;Points
03/12/2021 10:25;KRa;2;116;103;13;10;1230
03/12/2021 10:25;Sutter;0;53;15;38;20;882
04/12/2021 08:20;Colas;2;55;35;20;20;1037
04/12/2021 08:20;Gessien;0;33;15;18;20;923
05/12/2021 06:15;KRa;2;118;105;13;10;1233
05/12/2021 06:15;Colas;0;57;35;22;20;1030
06/12/2021 04:10;Sutter;2;56;17;39;20;896
06/12/2021 04:10;Gessien;1;36;16;20;20;909
07/12/2021 02:04;Colas;1;58;36;22;20;1035
07/12/2021 02:04;Sutter;0;57;17;40;20;891
07/12/2021 23:59;KRa;2;120;107;13;10;1234
07/12/2021 23:59;Gessien;0;38;16;22;20;906
08/12/2021 21:54;KRa;3;123;110;13;10;1236
08/12/2021 21:54;PLN;0;38;6;32;20;921
09/12/2021 19:48;KRa;3;126;113;13;10;1238
09/12/2021 19:48;PLN;0;41;6;35;20;916
10/12/2021 17:43;KRa;3;129;116;13;10;1240
10/12/2021 17:43;PLN;0;44;6;38;20;911
11/12/2021 15:38;Gessien;3;43;19;24;20;913
11/12/2021 15:38;Sutter;2;62;19;43;20;884
12/12/2021 13:33;Mateos;3;111;45;66;20;1088
12/12/2021 13:33;Colas;1;62;37;25;20;1021
13/12/2021 11:27;Mateos;3;115;48;67;20;1094
13/12/2021 11:27;Jacquet;1;4;1;3;40;987
14/12/2021 09:22;Mateos;0;120;48;72;20;1070
14/12/2021 09:22;KRa;5;134;121;13;10;1252
15/12/2021 07:17;KRa;3;137;124;13;10;1254
15/12/2021 07:17;Marin;0;44;17;27;20;960
16/12/2021 05:12;KRa;2;139;126;13;10;1256
16/12/2021 05:12;Jacquet;0;6;1;5;40;978
17/12/2021 03:06;KRa;2;141;128;13;10;1258
17/12/2021 03:06;Colas;0;64;37;27;20;1016
18/12/2021 01:01;Alice;0;16;7;9;40;955
18/12/2021 01:01;Gessien;1;44;20;24;20;925
18/12/2021 22:56;Alice;0;17;7;10;40;952
18/12/2021 22:56;KRa;1;142;129;13;10;1258
19/12/2021 20:50;Alice;0;18;7;11;40;933
19/12/2021 20:50;Marin;1;45;18;27;20;969
20/12/2021 18:45;Alice;0;19;7;12;40;917
20/12/2021 18:45;Jacquet;1;7;2;5;40;994
21/12/2021 16:40;Alice;0;20;7;13;40;905
21/12/2021 16:40;Colas;1;65;38;27;20;1022
22/12/2021 14:35;Marin;2;48;20;28;20;973
22/12/2021 14:35;Gessien;1;47;21;26;20;921
23/12/2021 12:29;Jacquet;1;10;3;7;40;958
23/12/2021 12:29;Gessien;2;50;23;27;20;939
24/12/2021 10:24;Colas;2;67;40;27;20;1037
24/12/2021 10:24;Jacquet;0;12;3;9;40;928
25/12/2021 08:19;Colas;0;76;40;36;20;1010
25/12/2021 08:19;KRa;9;151;138;13;10;1271
26/12/2021 06:13;Colas;3;80;43;37;20;1024
26/12/2021 06:13;Marin;1;52;21;31;20;959
27/12/2021 04:08;Colas;2;82;45;37;20;1042
27/12/2021 04:08;Roch;0;2;0;2;40;964
28/12/2021 02:03;Marin;2;54;23;31;20;979
28/12/2021 02:03;Roch;0;4;0;4;40;924
28/12/2021 23:58;Alice;0;21;7;14;40;887
28/12/2021 23:58;Roch;1;5;1;4;40;942
29/12/2021 21:52;Alice;0;22;7;15;40;874
29/12/2021 21:52;Marin;1;55;24;31;20;985
